2016/01/22,20:18:06
舦靡腹,舦靡嘿,禦秖,禦基,芥基,芥秖,禦芥基畉,瞶禦芥基畉,Θユ基,害禴碩(%),Θユ秖,夹嘿,基ず,糹基,︽ㄏゑㄒ,逞緇ぱ计,Τ篵膘,BIV,SIV
="036066",じ碔2U,25,6.20,6.25,10,0.807%,1.642%,-,-,0,珇,43.06% 基ず,36,0.40,12,3.27,0.00%,105.01%
="036406",CSッ伦,10,5.65,5.90,10,4.425%,1.757%,-,-,0,珇,38.93% 基ず,37.07,0.39,24,3.31,30.05%,105.01%
="036048",ッNP,10,4.77,-,0,-,1.867%,-,-,0,珇,35.53% 基ず,38,0.35,12,-,90.03%,-
="036267",ら脖NA,25,4.74,4.83,10,1.899%,1.879%,-,-,0,珇,35.53% 基ず,38,0.35,24,3.73,30.05%,78.78%
="035760",L2ッ伦,10,4.13,4.23,10,2.421%,2.527%,-,-,0,珇,24.28% 基ず,41.44,0.41,6,5.04,60.05%,116.25%
="037641",ら脖49,25,2.52,2.57,10,1.984%,2.525%,-,-,0,珇,22.62% 基ず,42,0.25,41,4.52,52.51%,58.60%
="035513",竤痲D8,25,4.09,4.19,10,2.445%,2.682%,-,-,0,珇,22.01% 基ず,42.21,0.4310,31,5.06,43.15%,54.38%
="037316",穝1A,10,2.18,2.28,10,4.587%,3.502%,-,-,0,珇,15.73% 基ず,44.50,0.30,39,6.31,32.86%,43.15%
="037248",NEじ,1,1.80,1.87,10,3.889%,3.534%,1.83,-8.04%,1,珇,14.44% 基ず,45,0.25,35,5.93,45.96%,52.98%
="037492",惩膀GZ,30,1.85,1.95,30,5.405%,3.438%,-,-,0,珇,14.44% 基ず,45,0.25,39,5.55,48.30%,57.19%
="037626",KYッ伦,10,1.48,1.52,10,2.703%,3.230%,-,-,0,珇,13.51% 基ず,45.37,0.1880,41,4.93,62.16%,66.14%
="033350",F6参,10,0.87,0.96,10,10.345%,5.573%,-,-,0,珇,6.74% 基ず,48.25,0.1940,24,7.80,48.77%,58.83%
="032044",J2じ碔,25,0.67,0.77,10,14.925%,7.059%,-,-,0,珇,5.49% 基ず,48.82,0.1940,24,10.11,34.26%,45.73%
="037635",ZFじ,100,1.09,1.10,10,0.917%,4.552%,1.10,-8.33%,70,珇,3.00% 基ず,50,0.25,41,7.09,51.58%,52.04%
