2016/01/26,11:57:58
舦靡腹,舦靡嘿,禦秖,禦基,芥基,芥秖,禦芥基畉,瞶禦芥基畉,Θユ基,害禴碩(%),Θユ秖,夹嘿,基ず,糹基,︽ㄏゑㄒ,逞緇ぱ计,Τ篵膘,BIV,SIV
="036254",CBッ伦,250,1.30,1.35,10,3.846%,3.822%,-,-,0,ゲ稻,16.14% 基ず,59.67,0.1220,21,5.30,66.61%,76.44%
="036597",08竤痲,499,0.64,0.65,10,1.563%,6.526%,-,-,0,ゲ稻,3.59% 基ず,66.90,0.1220,21,8.21,59.42%,60.75%
="034155",K1参,468,0.47,0.48,108,2.128%,3.356%,-,-,0,ゲ稻,0.64% 基ず,68.86,0.0890,30,7.18,63.15%,64.62%
="719394",瓣VZ,499,0.77,0.82,10,6.494%,4.707%,-,-,0,玭,11.48% 基ず,39.56,0.1460,21,6.38,57.19%,68.25%
="037413",伦KV,995,0.40,0.43,3,7.500%,9.146%,0.38,-19.15%,20,い葵,1.39% 基,18,0.80,36,17.65,26.96%,28.60%
="06839P",63惩膀,100,2.06,2.16,10,4.854%,3.444%,-,-,0,蝗,13.93% 基ず,140,0.10,21,-4.66,56.26%,69.42%
="06908P",ら脖03,499,1.77,1.81,15,2.260%,2.654%,1.78,-5.82%,90,蝗,19.67% 基ず,150,0.06,23,-3.81,15.05%,61.92%
="06889P",IKじ,300,2.04,2.13,10,4.412%,2.376%,-,-,0,蝗,22.26% 基ず,155,0.06,23,-3.28,0.00%,75.51%
="06823P",じ碔6L,499,1.95,2,10,2.564%,2.134%,-,-,0,蝗,24.69% 基ず,160,0.05,21,-2.98,0.00%,75.04%
="06542P",伦BM,499,2.53,2.99,5,18.182%,1.720%,-,-,0,蝗,28.98% 基ず,169.66,0.0520,28,-2.32,0.00%,164.09%
="06364P",じ38,300,2.11,2.20,10,4.265%,1.640%,2.16,-2.26%,22,蝗,29.77% 基ず,171.57,0.0420,36,-2.22,0.00%,83.00%
="036124",CZじ,100,0.86,0.95,10,-,-,-,-,0,打,9.92% 基ず,391.20,0.02,21,8.12,-,-
="036415",穝62,499,0.91,0.99,100,13.333%,11.198%,-,-,0,打,8.56% 基ず,396.09,0.0240,21,9.37,36.02%,53.13%
="036581",じ碔6X,499,0.80,0.81,44,1.250%,8.624%,-,-,0,打,1.07% 基ず,425.43,0.0250,21,7.71,71.64%,72.61%
="037636",ZGじ,499,1.18,1.22,10,3.390%,3.501%,1.23,4.24%,10,爵菹,15.81% 基ず,39.98,0.1590,38,4.78,59.06%,65.20%
="036619",DKッ伦,100,1.18,1.22,30,3.390%,4.221%,-,-,0,爵菹,13.51% 基ず,40.79,0.1860,21,5.77,64.97%,71.76%
